ident,name,type,latitude,longitude,country code,airport
BBI,BRIBIE ISLAND,VFR,-27.0002778,153.1430556,AU,
BTO,BRIGHTON,VFR,-37.9111111,144.9861111,AU,
BTJ,BRIGHTON JETTY,VFR,-35.0166667,138.5166667,AU,
BRY,BRINGELLY,VFR,-33.9416667,150.7283333,AU,
BRIN,BRINSMEAD,VFR,-16.9083333,145.7083333,AU,
BCTY,BRISBANE CBD,VFR,-27.4666667,153.0333333,AU,
BNCG,BRISBANE CRICKET GROUND,VFR,-27.4858333,153.0380556,AU,
BDF,BROADFORD,VFR,-37.2083333,145.0416667,AU,
BYN,BROOKLYN,VFR,-37.8277778,144.8583333,AU,
BBG,BROOKLYN BRIDGE,VFR,-33.5408333,151.1958333,AU,
BTON,BROOKTON,VFR,-32.3666667,117.0166667,AU,
BRI,BROUGHTON ISLAND,VFR,-32.6083333,152.3083333,AU,
BRH,BRUNSWICK HEADS,VFR,-28.5416667,153.55,AU,
BUCP,BUCHAN PT,VFR,-16.7361111,145.6677778,AU,
BUCN,BUCHANAN HILLS,VFR,-18.9,131.0833333,AU,
BKD,BUCKLAND,VFR,-42.6111111,147.7166667,AU,
BPK,BUCKLAND PARK WEATHER RADAR,VFR,-34.6169444,138.4688889,AU,
BDH,BUNDAGEN HEAD,VFR,-30.4333333,153.075,AU,
BEN,BUNGENDORE,VFR,-35.2583333,149.4472222,AU,
BUG,BUNGIL BRIDGE,VFR,-36.05,147.35,AU,
URG,BURBONG,VFR,-35.3402778,149.3097222,AU,
BLGH,BURLEIGH HEADS,VFR,-28.0908333,153.4583333,AU,
BUB,BURNS BEACH,VFR,-31.7283333,115.7166667,AU,
BUGA,BURRAGA,VFR,-33.8833333,149.5666667,AU,
BJK,BURRINJUCK,VFR,-35.005,148.5833333,AU,
BMK,BURRUMBUTTOCK,VFR,-35.8333333,146.8,AU,
BYFD,BYFORD,VFR,-32.2166667,116.0333333,AU,
BYNO,BYNOE HARBOUR,VFR,-12.75,130.6833333,AU,
BYRK,BYROCK,VFR,-30.65,146.4,AU,
BBAY,BYRON BAY,VFR,-28.65,153.6166667,AU,
CBLT,CABLEWAY TERMINAL,VFR,-16.8483333,145.6916667,AU,
CABO,CABOOLTURE,VFR,-27.0875,152.95,AU,
CRDZ,CALOUNDRA DROPZONE,VFR,-26.8,153.11,AU,
CALT,CALTEX REFINERY,VFR,-27.415,153.1583333,AU,
CLVT,CALVERT,VFR,-27.6636111,152.5158333,AU,
CBRA,CAMBRAI,VFR,-34.6583333,139.28,AU,
CPA,CAMPANIA,VFR,-42.6661111,147.4225,AU,
CLLN,CAMPBELLTOWN,VFR,-41.9333333,147.4916667,AU,
CAMB,CAMPBELLTOWN UNIVERSITY,VFR,-34.0716667,150.7833333,AU,
RCSE,CANBERRA RACECOURSE,VFR,-35.2383333,149.1366667,AU,
CNB,CANNING BRIDGE,VFR,-32.01,115.85,AU,
CDM,CANNING DAM,VFR,-32.1541667,116.125,AU,
CAV,CANNONVALE,VFR,-20.2777778,148.6916667,AU,
CBY,CANTERBURY RACECOURSE,VFR,-33.9083333,151.1116667,AU,
CAPS,CAPE BANKS,VFR,-33.9975,151.2444444,AU,
CCL,CAPE CLEVELAND,VFR,-19.1833333,147.0125,AU,
CPY,CAPE CONWAY,VFR,-20.5361111,148.9277778,AU,
CGR,CAPE GAMBIER,VFR,-11.9388889,130.9666667,AU,
CGF,CAPE GRAFTON,VFR,-16.8638889,145.9166667,AU,
CPH,CAPE HILLSBOROUGH,VFR,-20.9055556,149.0444444,AU,
CAJE,CAPE JERVIS,VFR,-35.6061111,138.0919444,AU,
CAKE,CAPE KEITH,VFR,-11.6166667,131.4666667,AU,
CMB,CAPE LAMBERT,VFR,-20.5933333,117.1833333,AU,
CPMN,CAPE MORETON,VFR,-27.0333333,153.4666667,AU,
CPLD,CAPE PORTLAND,VFR,-40.75,147.95,AU,
CPHE,CAPE RICHE,VFR,-34.6,118.7666667,AU,
CAPT,CAPTAINS FLAT,VFR,-35.5911111,149.4452778,AU,
CAU,CARAMUT,VFR,-37.9666667,142.5166667,AU,
CARE,CARDINIA RESV,VFR,-37.9583333,145.4166667,AU,
CDNA,CARDONA,VFR,-23.3333333,149.0,AU,
CARIN,CARINDALE SHOPPING CENTRE,VFR,-27.5,153.1011111,AU,
CIK,CARRICK,VFR,-41.5333333,147.0,AU,
CARR,CARRUM,VFR,-38.0741667,145.1194444,AU,
CLJ,CASTLE JUNCTION,VFR,-41.5055556,147.4833333,AU,
CTT,CASTLE PT,VFR,-12.35,131.275,AU,
CRPT,CASTLEREAGH POINT,VFR,-27.1922222,153.1113889,AU,
CCP,CECIL PLAINS,VFR,-27.5333333,151.1833333,AU,
CAO,CEDUNA OBSERVATORY,VFR,-31.8666667,133.8,AU,
CBRG,CENTENARY BRIDGE,VFR,-27.5275,152.9466667,AU,
CERB,CERBERUS,VFR,-37.9666667,145.0,AU,
CYM,CHAFFEY DAM,VFR,-31.3416667,151.1333333,AU,
CHI,CHANNEL ISLAND,VFR,-12.55,130.8666667,AU,
CHAP,CHARLES PT,VFR,-12.3827778,130.6180556,AU,
CHAT,CHATSWOOD CBD,VFR,-33.7961111,151.1852778,AU,
CHN,CHILTERN,VFR,-36.1458333,146.6069444,AU,
CIB,CHIPBOARD FACTORY,VFR,-35.0708333,147.4041667,AU,
CHOC,CHOCOLATE FACTORY,VFR,-42.7930556,147.2677778,AU,
CNTH,CHOPPERS NORTH,VFR,-33.8816667,151.025,AU,
CSTH,CHOPPERS SOUTH,VFR,-33.9541667,150.9644444,AU,
CWST,CHOPPERS WEST,VFR,-33.8736111,151.0038889,AU,
CIH,CID HARBOUR,VFR,-20.25,148.9333333,AU,
CYB,CITY BEACH,VFR,-31.9416667,115.75,AU,
CEN,CLEVEDON,VFR,-19.3958333,147.0208333,AU,
CVD,CLEVELAND,VFR,-27.5194444,153.2833333,AU,
CFI,CLIFFY ISLAND,VFR,-38.9513889,146.7022222,AU,
CLS,CLIFTON SPRINGS,VFR,-38.15,144.5666667,AU,
CGH,CLONAGH STN,VFR,-20.1333333,140.6833333,AU,
CLOY,CLONEYS CREEK,VFR,-20.2166667,142.6,AU,
COBA,COBAKI,VFR,-28.1833333,153.4877778,AU,
CKT,COCKATOO,VFR,-37.9383333,145.495,AU,
CBI,COLBINABBIN,VFR,-36.5833333,144.8,AU,
CGE,COLLINGULLIE,VFR,-35.0888889,147.1208333,AU,
CONG,COMERONG ISLAND,VFR,-34.8833333,150.7333333,AU,
CJN,CONARA JUNCTION,VFR,-41.8333333,147.4333333,AU,
CGM,CONDONG MILL,VFR,-28.3166667,153.4333333,AU,
CBYC,COOBY CREEK RESV,VFR,-27.3861111,151.9388889,AU,
CIS,COOK ISLAND,VFR,-28.1972222,153.5777778,AU,
CLMN,COOLAMON,VFR,-34.8166667,147.2,AU,
CMDR,COOLMUNDA RESV,VFR,-28.45,151.2333333,AU,
COOL,COOLUM HI-RISE,VFR,-26.5277778,153.0872222,AU,
CORO,COOROY,VFR,-26.4166667,152.9083333,AU,
CPL,COPPERLODE DAM,VFR,-16.9861111,145.6708333,AU,
CPNG,COPPINS CROSSING,VFR,-35.2883333,149.0433333,AU,
CVR,CORIN RESV,VFR,-35.5416667,148.8333333,AU,
COSS,COSSACK,VFR,-20.6766667,117.19,AU,
COTR,COTTER,VFR,-35.3380556,148.9916667,AU,
CTE,COTTESLOE,VFR,-31.9916667,115.75,AU,
COWI,COW ISLAND,VFR,-20.4227778,148.8447222,AU,
COWR,COWWARR,VFR,-38.0144444,146.6930556,AU,
CML,CRADLE MOUNTAIN LODGE,VFR,-41.595,145.9283333,AU,
CBV,CRAIGBOURNE RESV,VFR,-42.55,147.4166667,AU,
CGB,CRAIGIEBURN OVERPASS,VFR,-37.6027778,144.9388889,AU,
CRAY,CRAYFISH,VFR,-38.5833333,139.75,AU,
CREM,CREMORNE,VFR,-42.9583333,147.5333333,AU,
CES,CRESSY,VFR,-41.6916667,147.0833333,AU,
CWK,CRESWICK,VFR,-37.4333333,143.9,AU,
CUL,CRONULLA,VFR,-34.0616667,151.1533333,AU,
CRPC,CROPPA CREEK,VFR,-29.1333333,150.3,AU,
CNT,CROWS NEST,VFR,-27.2694444,152.0555556,AU,
CGD,CUDGEN HEADLAND,VFR,-28.265,153.585,AU,
CCN,CULCAIRN,VFR,-35.6666667,147.0388889,AU,
DAIN,DAINTREE,VFR,-16.25,145.3166667,AU,
DLMO,DALMORE DOWNS,VFR,-19.775,136.0016667,AU,
DRY,DALRYE,VFR,-20.1666667,149.0666667,AU,
DMW,DAM WALL,VFR,-34.7583333,138.7208333,AU,
DARL,DARLIMURA,VFR,-38.3538889,146.2152778,AU,
DHH,DARLING HARBOUR,VFR,-33.8583333,151.2,AU,
DND,DARWIN RIVER DAM,VFR,-12.825,130.9666667,AU,
DBO,DAYBORO,VFR,-27.2,152.8208333,AU,
DFD,DAYLESFORD,VFR,-37.35,144.15,AU,
DGY,DE GREY HS,VFR,-20.175,119.1694444,AU,
DSS,DEDERANG SUBSTATION,VFR,-36.4533333,146.99,AU,
DPW,DEEP WELL,VFR,-24.3583333,134.05,AU,
DEL,DELORAINE,VFR,-41.5333333,146.6666667,AU,
DNP,DENHAM PASSAGE,VFR,-11.3333333,143.3333333,AU,
DWB,DERWENT BRIDGE,VFR,-42.1333333,146.2333333,AU,
DVM,DEVILS MARBLES,VFR,-20.5333333,134.25,AU,
DIBE,DICKY BEACH,VFR,-26.7819444,153.1388889,AU,
